target_number,lon,lat,xpixel,ypixel,detecttime,inc_ang,reliability,nr_pixels,length,width,size_class,heading_range,heading_north,lwh_reliability,manual_add,noise,significance,threshold_tile,max_value,false_alarm_cause
37,104.155642,0.97556,403.0,653.0,2019-11-27 11:17:22.519,30.943,3,2,28.0,10.0,S,0.0,55.0,false,false,0,"0.0,0.0,1.954,4.294","0.0,0.0,136.591,356.734","0,0,94,391",AA
38,104.130735,0.963826,105.0,585.0,2019-11-27 11:17:22.519,30.763,0,6,28.0,22.0,S,0.0,100.0,false,false,0,"0.0,0.0,1.15,3.628","0.0,0.0,144.125,341.861","0,0,75,349",
39,104.128898,0.958559,73.0,533.0,2019-11-27 11:17:22.519,30.744,0,15,109.0,17.0,M,0.0,11.0,false,false,0,"0.0,0.0,2.105,4.383","0.0,0.0,145.71,338.903","0,0,106,401",
40,104.738084,1.088374,7004.0,530.0,2019-11-27 11:17:22.519,34.757,0,29,62.0,43.0,S,0.0,15.0,false,false,0,"0.0,0.0,4.445,6.013","0.0,0.0,100.618,234.36","0,0,148,378",
41,104.879823,1.117019,8613.0,512.0,2019-11-27 11:17:22.519,35.637,0,335,273.0,121.0,L,0.0,21.0,false,false,0,"0.0,0.0,32.698,122.576","0.0,0.0,104.748,152.265","0,0,903,4382",
42,104.241659,1.001529,1399.0,734.0,2019-11-27 11:17:22.519,31.54,0,54,92.0,58.0,M,0.0,65.0,false,false,0,"0.0,0.0,20.049,59.242","0.0,0.0,127.879,245.741","0,0,656,3371",
43,104.24055,1.001563,1387.0,737.0,2019-11-27 11:17:22.519,31.532,3,5,38.0,13.0,S,0.0,41.0,false,false,0,"0.0,0.0,4.768,10.099","0.0,0.0,127.423,244.116","0,0,179,611",TP
44,104.233279,1.005605,1317.0,796.0,2019-11-27 11:17:22.519,31.491,0,222,175.0,130.0,L,0.0,42.0,false,false,0,"0.0,0.0,4.076,7.298","0.0,0.0,127.424,234.886","0,0,169,496",
45,104.23752,1.005518,1363.0,785.0,2019-11-27 11:17:22.519,31.518,0,5,25.0,15.0,S,0.0,118.0,false,false,0,"0.0,0.0,1.65,4.13","0.0,0.0,127.244,235.226","0,0,86,287",
46,104.704198,1.091511,6642.0,640.0,2019-11-27 11:17:22.519,34.556,0,3,18.0,12.0,S,0.0,56.0,false,false,0,"0.0,0.0,1.164,2.859","0.0,0.0,101.152,187.411","0,0,66,187",
47,105.830992,1.346313,19493.0,793.0,2019-11-27 11:17:22.519,41.104,0,2,22.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,-0.087,2.03","0.0,0.0,49.586,123.391","0,0,17,95",
48,106.273861,1.441618,24533.0,804.0,2019-11-27 11:17:22.519,43.366,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.652,2.214","0.0,0.0,81.917,247.79","0,0,43,178",
49,106.286873,1.444387,24681.0,804.0,2019-11-27 11:17:22.519,43.43,0,249,203.0,151.0,L,0.0,137.0,false,false,0,"0.0,0.0,2.194,4.141","0.0,0.0,84.127,234.08","0,0,78,324",
50,104.205688,1.012434,1032.0,931.0,2019-11-27 11:17:22.519,31.321,0,40,105.0,36.0,M,0.0,9.0,false,false,0,"0.0,0.0,1.189,18.044","0.0,0.0,127.097,307.158","0,0,83,1379",
51,104.224016,1.010394,1227.0,868.0,2019-11-27 11:17:22.519,31.437,0,255,177.0,159.0,L,0.0,65.0,false,false,0,"0.0,0.0,2.657,6.505","0.0,0.0,126.654,215.677","0,0,127,407",
52,104.222941,1.014226,1224.0,911.0,2019-11-27 11:17:22.519,31.435,0,117,214.0,58.0,L,0.0,122.0,false,false,0,"0.0,0.0,4.272,8.954","0.0,0.0,127.067,230.762","0,0,173,580",
53,104.222377,1.017806,1226.0,950.0,2019-11-27 11:17:22.519,31.436,0,3,18.0,12.0,S,0.0,56.0,false,false,0,"0.0,0.0,2.014,3.955","0.0,0.0,127.577,216.906","0,0,100,267",
54,104.222072,1.022344,1233.0,999.0,2019-11-27 11:17:22.519,31.441,3,31,103.0,28.0,M,0.0,22.0,false,false,0,"0.0,0.0,1.396,8.609","0.0,0.0,127.693,213.638","0,0,77,487",AA
55,104.64164,1.104131,5989.0,916.0,2019-11-27 11:17:22.519,34.191,0,80,91.0,86.0,M,0.0,39.0,false,false,0,"0.0,0.0,5.829,7.148","0.0,0.0,107.789,265.144","0,0,186,485",
56,104.660305,1.108838,6203.0,923.0,2019-11-27 11:17:22.519,34.311,0,151,129.0,117.0,L,0.0,62.0,false,false,0,"0.0,0.0,8.472,7.577","0.0,0.0,103.56,217.358","0,0,256,429",
57,104.664283,1.108695,6246.0,913.0,2019-11-27 11:17:22.519,34.335,0,15,37.0,33.0,S,0.0,56.0,false,false,0,"0.0,0.0,3.59,4.802","0.0,0.0,102.992,210.339","0,0,129,289",
58,104.811171,1.135461,7907.0,864.0,2019-11-27 11:17:22.519,35.253,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,1.147,2.085","0.0,0.0,102.186,198.009","0,0,66,161",
59,104.855949,1.155392,8440.0,974.0,2019-11-27 11:17:22.519,35.543,0,68,145.0,46.0,L,0.0,14.0,false,false,0,"0.0,0.0,9.936,16.409","0.0,0.0,108.44,236.962","0,0,304,909",
60,105.031634,1.183963,10418.0,879.0,2019-11-27 11:17:22.519,36.602,0,299,215.0,134.0,L,0.0,25.0,false,false,0,"0.0,0.0,87.491,162.282","0.0,0.0,81.908,215.202","0,0,1836,7850",
61,105.819415,1.360506,19399.0,970.0,2019-11-27 11:17:22.519,41.06,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,-0.023,1.84","0.0,0.0,50.039,121.378","0,0,18,86",
62,106.230799,1.44388,24069.0,925.0,2019-11-27 11:17:22.519,43.165,0,43,429.0,60.0,L,0.0,89.0,false,false,0,"0.0,0.0,1.839,2.718","0.0,0.0,76.649,296.916","0,0,64,291",
63,106.234655,1.443441,24110.0,912.0,2019-11-27 11:17:22.519,43.183,0,4,260.0,10.0,L,0.0,7.0,false,false,0,"0.0,0.0,1.422,1.803","0.0,0.0,76.788,295.57","0,0,56,225",
64,106.273988,1.451632,24557.0,910.0,2019-11-27 11:17:22.519,43.377,0,3,18.0,12.0,S,0.0,56.0,false,false,0,"0.0,0.0,1.129,1.862","0.0,0.0,84.436,319.051","0,0,55,271",
65,106.274921,1.451561,24567.0,907.0,2019-11-27 11:17:22.519,43.381,0,5,25.0,15.0,S,0.0,82.0,false,false,0,"0.0,0.0,1.539,2.332","0.0,0.0,84.654,322.127","0,0,64,325",
66,106.276846,1.449361,24583.0,879.0,2019-11-27 11:17:22.519,43.388,0,742,837.0,219.0,L,0.0,178.0,false,false,0,"0.0,0.0,2.026,4.117","0.0,0.0,78.203,233.512","0,0,69,325",
