target_number,lon,lat,xpixel,ypixel,detecttime,inc_ang,reliability,nr_pixels,length,width,size_class,heading_range,heading_north,lwh_reliability,manual_add,noise,significance,threshold_tile,max_value,false_alarm_cause
266,104.304577,1.149083,2420.0,2157.0,2019-11-27 11:17:22.519,32.143,3,3,18.0,12.0,S,0.0,144.0,false,false,0,"0.0,0.0,0.651,1.714","0.0,0.0,147.392,397.704","0,0,81,336",AA
267,104.532674,1.187499,4992.0,2048.0,2019-11-27 11:17:22.519,33.629,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,1.058,3.856","0.0,0.0,158.955,403.098","0,0,76,455",
268,104.525435,1.195336,4931.0,2148.0,2019-11-27 11:17:22.519,33.594,0,574,396.0,245.0,L,0.0,44.0,false,false,0,"0.0,0.0,8.222,6.698","0.0,0.0,139.437,372.744","0,0,373,766",
269,104.532366,1.199071,5015.0,2172.0,2019-11-27 11:17:22.519,33.642,0,9,44.0,29.0,S,0.0,14.0,false,false,0,"0.0,0.0,1.694,2.482","0.0,0.0,145.802,380.254","0,0,121,362",
270,104.541462,1.202997,5123.0,2193.0,2019-11-27 11:17:22.519,33.703,0,8,41.0,20.0,S,0.0,144.0,false,false,0,"0.0,0.0,4.559,3.302","0.0,0.0,133.234,339.492","0,0,198,358",
271,104.539792,1.202641,5104.0,2193.0,2019-11-27 11:17:22.519,33.692,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,1.632,3.286","0.0,0.0,125.673,329.591","0,0,88,353",
272,104.543001,1.20486,5144.0,2209.0,2019-11-27 11:17:22.519,33.715,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,1.465,5.228","0.0,0.0,131.019,339.316","0,0,76,516",
273,105.470459,1.402363,15694.0,2206.0,2019-11-27 11:17:22.519,39.288,0,23,518.0,24.0,L,0.0,99.0,false,false,0,"0.0,0.0,1.704,2.811","0.0,0.0,80.94,313.625","0,0,65,346",
274,105.491142,1.39875,15911.0,2121.0,2019-11-27 11:17:22.519,39.395,0,2,22.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.68,1.405","0.0,0.0,98.786,450.643","0,0,55,336",
275,105.495271,1.400081,15959.0,2126.0,2019-11-27 11:17:22.519,39.418,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.992,1.379","0.0,0.0,93.323,367.6","0,0,60,266",
276,104.542714,1.209309,5151.0,2257.0,2019-11-27 11:17:22.519,33.719,0,8,41.0,22.0,S,0.0,10.0,false,false,0,"0.0,0.0,4.56,7.564","0.0,0.0,118.332,305.309","0,0,161,619",
277,104.539878,1.209696,5121.0,2268.0,2019-11-27 11:17:22.519,33.702,0,15,37.0,33.0,S,0.0,56.0,false,false,0,"0.0,0.0,7.018,4.622","0.0,0.0,117.052,301.782","0,0,239,415",
278,104.581611,1.232316,5627.0,2413.0,2019-11-27 11:17:22.519,33.988,0,22,196.0,25.0,L,0.0,39.0,false,false,0,"0.0,0.0,3.46,3.664","0.0,0.0,129.887,382.631","0,0,163,431",
279,105.44478,1.406173,15423.0,2305.0,2019-11-27 11:17:22.519,39.155,0,195,429.0,259.0,L,0.0,79.0,false,false,0,"0.0,0.0,2.601,3.55","0.0,0.0,78.219,252.996","0,0,78,263",
280,105.440449,1.41372,15393.0,2395.0,2019-11-27 11:17:22.519,39.14,0,19,134.0,86.0,L,0.0,77.0,false,false,0,"0.0,0.0,1.825,2.448","0.0,0.0,88.025,403.224","0,0,74,363",
281,105.470245,1.402948,15693.0,2213.0,2019-11-27 11:17:22.519,39.288,0,52,396.0,83.0,L,0.0,122.0,false,false,0,"0.0,0.0,1.701,2.91","0.0,0.0,80.186,277.231","0,0,65,346",
282,105.470509,1.403004,15696.0,2213.0,2019-11-27 11:17:22.519,39.289,0,65,429.0,55.0,L,0.0,129.0,false,false,0,"0.0,0.0,1.958,3.198","0.0,0.0,79.29,267.925","0,0,69,346",
283,105.487032,1.400398,15870.0,2148.0,2019-11-27 11:17:22.519,39.375,0,559,552.0,178.0,L,0.0,176.0,false,false,0,"0.0,0.0,2.113,3.397","0.0,0.0,81.466,248.965","0,0,75,329",
284,104.305383,1.143029,2415.0,2091.0,2019-11-27 11:17:22.519,32.14,0,57,499.0,51.0,L,0.0,18.0,false,false,0,"0.0,0.0,3.007,3.149","0.0,0.0,167.379,498.567","0,0,189,578",
285,104.305741,1.165485,2470.0,2329.0,2019-11-27 11:17:22.519,32.173,3,3,18.0,12.0,S,0.0,144.0,false,false,0,"0.0,0.0,2.651,1.264","0.0,0.0,123.569,309.883","0,0,124,182",AA
286,104.332826,1.184714,2809.0,2472.0,2019-11-27 11:17:22.519,32.371,0,26,66.0,36.0,S,0.0,163.0,false,false,0,"0.0,0.0,6.739,6.535","0.0,0.0,120.516,346.758","0,0,221,579",
287,104.359417,1.191474,3114.0,2483.0,2019-11-27 11:17:22.519,32.549,0,70,148.0,54.0,L,0.0,168.0,false,false,0,"0.0,0.0,5.017,6.129","0.0,0.0,120.618,330.411","0,0,187,539",
288,104.358416,1.19099,3102.0,2480.0,2019-11-27 11:17:22.519,32.542,0,11,38.0,30.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.804,4.24","0.0,0.0,120.923,328.949","0,0,120,394",
289,104.565735,1.232717,5455.0,2454.0,2019-11-27 11:17:22.519,33.891,0,6,34.0,20.0,S,0.0,10.0,false,false,0,"0.0,0.0,3.28,3.397","0.0,0.0,148.469,422.303","0,0,175,473",
290,104.565273,1.23361,5452.0,2464.0,2019-11-27 11:17:22.519,33.889,0,13,88.0,17.0,M,0.0,102.0,false,false,0,"0.0,0.0,3.086,3.339","0.0,0.0,166.348,484.404","0,0,190,541",
291,104.567606,1.235191,5481.0,2476.0,2019-11-27 11:17:22.519,33.906,0,36,289.0,89.0,L,0.0,100.0,false,false,0,"0.0,0.0,3.32,2.558","0.0,0.0,164.67,477.442","0,0,202,432",
292,104.566041,1.238285,5471.0,2512.0,2019-11-27 11:17:22.519,33.9,0,21,89.0,25.0,M,0.0,170.0,false,false,0,"0.0,0.0,2.944,3.684","0.0,0.0,136.652,388.152","0,0,165,493",
293,104.581611,1.232316,5627.0,2413.0,2019-11-27 11:17:22.519,33.988,0,31,188.0,36.0,L,0.0,41.0,false,false,0,"0.0,0.0,2.988,3.251","0.0,0.0,142.862,410.329","0,0,163,431",
294,105.388576,1.4115,14823.0,2489.0,2019-11-27 11:17:22.519,38.858,0,90,137.0,64.0,L,0.0,98.0,false,false,0,"0.0,0.0,38.345,55.957","0.0,0.0,73.104,251.641","0,0,716,3261",
295,105.440256,1.413768,15391.0,2396.0,2019-11-27 11:17:22.519,39.139,0,15,84.0,25.0,M,0.0,160.0,false,false,0,"0.0,0.0,1.906,2.666","0.0,0.0,85.121,379.099","0,0,74,398",
296,105.426948,1.42517,15272.0,2547.0,2019-11-27 11:17:22.519,39.081,0,158,462.0,92.0,L,0.0,62.0,false,false,0,"0.0,0.0,2.555,3.774","0.0,0.0,79.734,292.734","0,0,82,386",
297,104.541386,1.200726,5117.0,2169.0,2019-11-27 11:17:22.519,33.7,0,22,461.0,47.0,L,0.0,111.0,false,false,0,"0.0,0.0,4.315,3.726","0.0,0.0,138.277,360.237","0,0,197,423",
298,104.321287,1.187214,2689.0,2524.0,2019-11-27 11:17:22.519,32.301,0,15,50.0,33.0,S,0.0,110.0,false,false,0,"0.0,0.0,3.873,3.513","0.0,0.0,117.819,347.555","0,0,142,356",
299,104.340611,1.193596,2914.0,2548.0,2019-11-27 11:17:22.519,32.432,0,32,156.0,43.0,L,0.0,150.0,false,false,0,"0.0,0.0,3.773,2.972","0.0,0.0,118.628,352.984","0,0,145,319",
300,104.564224,1.23907,5453.0,2524.0,2019-11-27 11:17:22.519,33.89,0,4,22.0,22.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.414,1.497","0.0,0.0,126.466,368.176","0,0,134,258",
301,104.56218,1.239626,5432.0,2535.0,2019-11-27 11:17:22.519,33.878,0,20,67.0,28.0,S,0.0,110.0,false,false,0,"0.0,0.0,3.1,2.628","0.0,0.0,119.705,351.076","0,0,150,347",
302,104.57926,1.23434,5606.0,2440.0,2019-11-27 11:17:22.519,33.976,0,7,46.0,24.0,S,0.0,159.0,false,false,0,"0.0,0.0,2.884,2.236","0.0,0.0,141.824,406.31","0,0,158,326",
303,104.133593,1.180348,629.0,2877.0,2019-11-27 11:17:22.519,31.079,3,2,22.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,3.102,2.876","0.0,0.0,145.379,413.171","0,0,161,379",TP
304,104.136639,1.176756,654.0,2832.0,2019-11-27 11:17:22.519,31.094,0,3,255.0,10.0,L,0.0,169.0,false,false,0,"0.0,0.0,3.26,2.778","0.0,0.0,151.771,428.388","0,0,180,394",
305,104.120506,1.189829,508.0,3007.0,2019-11-27 11:17:22.519,31.006,0,10,48.0,19.0,S,0.0,49.0,false,false,0,"0.0,0.0,3.924,3.926","0.0,0.0,144.535,422.526","0,0,192,493",
306,104.142674,1.173352,712.0,2782.0,2019-11-27 11:17:22.519,31.129,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,2.835,1.782","0.0,0.0,147.66,426.551","0,0,163,295",
307,104.14294,1.172957,714.0,2777.0,2019-11-27 11:17:22.519,31.13,0,2,22.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.948,1.779","0.0,0.0,149.754,425.937","0,0,170,293",
308,104.143876,1.172435,723.0,2770.0,2019-11-27 11:17:22.519,31.136,0,2,116.0,10.0,M,0.0,41.0,false,false,0,"0.0,0.0,2.195,1.853","0.0,0.0,168.598,480.159","0,0,153,335",
309,104.141536,1.172206,697.0,2773.0,2019-11-27 11:17:22.519,31.12,0,25,355.0,34.0,L,0.0,35.0,false,false,0,"0.0,0.0,3.624,2.673","0.0,0.0,165.715,458.195","0,0,222,419",
310,104.144683,1.169449,725.0,2736.0,2019-11-27 11:17:22.519,31.137,0,65,424.0,47.0,L,0.0,136.0,false,false,0,"0.0,0.0,3.679,2.586","0.0,0.0,153.665,441.79","0,0,204,388",
311,104.143207,1.169043,708.0,2735.0,2019-11-27 11:17:22.519,31.127,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.481,1.232","0.0,0.0,170.791,474.311","0,0,164,239",
312,104.144246,1.168904,719.0,2731.0,2019-11-27 11:17:22.519,31.133,0,9,85.0,17.0,M,0.0,100.0,false,false,0,"0.0,0.0,3.221,2.329","0.0,0.0,173.592,488.854","0,0,204,388",
313,104.130101,1.195759,626.0,3049.0,2019-11-27 11:17:22.519,31.077,3,44,96.0,44.0,M,0.0,2.0,false,false,0,"0.0,0.0,0.528,3.972","0.0,0.0,126.316,387.793","0,0,64,472",AA
314,104.111847,1.193486,422.0,3066.0,2019-11-27 11:17:22.519,30.955,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,3.587,3.87","0.0,0.0,139.273,412.567","0,0,163,449",
315,104.115038,1.192272,454.0,3046.0,2019-11-27 11:17:22.519,30.974,0,7,100.0,26.0,M,0.0,159.0,false,false,0,"0.0,0.0,3.214,3.859","0.0,0.0,144.317,415.585","0,0,161,462",
316,104.166389,1.191684,1012.0,2923.0,2019-11-27 11:17:22.519,31.309,0,17,43.0,36.0,S,0.0,180.0,false,false,0,"0.0,0.0,3.102,7.662","0.0,0.0,120.487,368.677","0,0,136,735",
317,104.129884,1.183166,595.0,2915.0,2019-11-27 11:17:22.519,31.059,0,9,219.0,73.0,L,0.0,71.0,false,false,0,"0.0,0.0,2.668,3.314","0.0,0.0,148.87,418.722","0,0,148,432",
318,104.123544,1.187589,536.0,2977.0,2019-11-27 11:17:22.519,31.023,0,38,81.0,46.0,M,0.0,95.0,false,false,0,"0.0,0.0,3.783,4.773","0.0,0.0,143.107,416.296","0,0,186,577",
319,104.207992,1.170513,1417.0,2604.0,2019-11-27 11:17:22.519,31.55,0,101,217.0,44.0,L,0.0,6.0,false,false,0,"0.0,0.0,18.482,23.274","0.0,0.0,120.275,397.169","0,0,597,2177",
320,105.391501,1.421674,14878.0,2591.0,2019-11-27 11:17:22.519,38.886,0,60,96.0,60.0,M,0.0,118.0,false,false,0,"0.0,0.0,1.849,3.23","0.0,0.0,75.751,244.703","0,0,63,269",
321,105.429649,1.427187,15306.0,2563.0,2019-11-27 11:17:22.519,39.097,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,0.219,1.453","0.0,0.0,85.019,324.203","0,0,36,253",
322,105.593526,1.463345,17173.0,2576.0,2019-11-27 11:17:22.519,40.007,0,12,44.0,24.0,S,0.0,15.0,false,false,0,"0.0,0.0,0.798,4.014","0.0,0.0,87.412,167.673","0,0,49,197",
323,104.811519,1.318884,8328.0,2812.0,2019-11-27 11:17:22.519,35.482,0,79,122.0,61.0,L,0.0,42.0,false,false,0,"0.0,0.0,22.985,29.587","0.0,0.0,107.317,247.753","0,0,646,1648",
324,104.97858,1.355586,10231.0,2823.0,2019-11-27 11:17:22.519,36.503,3,19,58.0,30.0,S,0.0,17.0,false,false,0,"0.0,0.0,0.975,6.66","0.0,0.0,82.622,198.633","0,0,50,350",AA
325,105.40211,1.429791,15012.0,2653.0,2019-11-27 11:17:22.519,38.952,0,128,189.0,86.0,L,0.0,55.0,false,false,0,"0.0,0.0,2.422,4.221","0.0,0.0,75.492,239.96","0,0,74,325",
326,105.392956,1.437572,14930.0,2756.0,2019-11-27 11:17:22.519,38.911,0,92,583.0,79.0,L,0.0,133.0,false,false,0,"0.0,0.0,1.62,3.731","0.0,0.0,72.835,201.655","0,0,56,234",
327,105.417751,1.430959,15185.0,2630.0,2019-11-27 11:17:22.519,39.038,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,0.543,1.932","0.0,0.0,79.026,285.622","0,0,40,236",
328,104.367579,1.240319,3314.0,2983.0,2019-11-27 11:17:22.519,32.665,0,112,151.0,72.0,L,0.0,126.0,false,false,0,"0.0,0.0,14.886,21.95","0.0,0.0,106.751,391.822","0,0,429,1971",
329,104.742437,1.306316,7547.0,2835.0,2019-11-27 11:17:22.519,35.056,0,11,58.0,18.0,S,0.0,7.0,false,false,0,"0.0,0.0,1.86,4.232","0.0,0.0,99.525,261.416","0,0,82,320",
330,105.380705,1.453164,14832.0,2950.0,2019-11-27 11:17:22.519,38.863,3,23,170.0,70.0,L,0.0,92.0,false,false,0,"0.0,0.0,0.921,3.135","0.0,0.0,72.481,158.941","0,0,43,161",AA
331,104.100016,1.229049,374.0,3470.0,2019-11-27 11:17:22.519,30.926,3,6,28.0,18.0,S,0.0,144.0,false,false,0,"0.0,0.0,2.759,1.169","0.0,0.0,120.512,399.371","0,0,126,228",AA
332,104.075337,1.21665,77.0,3394.0,2019-11-27 11:17:22.519,30.746,3,13,44.0,25.0,S,0.0,175.0,false,false,0,"0.0,0.0,4.821,1.347","0.0,0.0,127.204,416.48","0,0,181,207",AA
333,104.122637,1.196331,546.0,3072.0,2019-11-27 11:17:22.519,31.029,3,15,49.0,29.0,S,0.0,19.0,false,false,0,"0.0,0.0,3.525,1.83","0.0,0.0,131.835,402.336","0,0,171,295",AA
334,104.363115,1.292513,3384.0,3548.0,2019-11-27 11:17:22.519,32.706,3,14,46.0,26.0,S,0.0,18.0,false,false,0,"0.0,0.0,1.123,4.325","0.0,0.0,104.054,403.53","0,0,67,508",AA
335,104.335026,1.282369,3055.0,3504.0,2019-11-27 11:17:22.519,32.515,0,158,235.0,64.0,L,0.0,105.0,false,false,0,"0.0,0.0,24.674,57.215","0.0,0.0,104.572,409.834","0,0,672,5241",
336,104.317409,1.279241,2856.0,3510.0,2019-11-27 11:17:22.519,32.399,0,158,154.0,106.0,L,0.0,123.0,false,false,0,"0.0,0.0,51.497,92.258","0.0,0.0,105.002,409.516","0,0,1371,8513",
337,104.245153,1.268694,2045.0,3562.0,2019-11-27 11:17:22.519,31.922,0,96,160.0,58.0,L,0.0,100.0,false,false,0,"0.0,0.0,26.841,96.512","0.0,0.0,106.841,369.137","0,0,750,7942",
338,104.228629,1.254609,1833.0,3450.0,2019-11-27 11:17:22.519,31.797,0,117,158.0,70.0,L,0.0,92.0,false,false,0,"0.0,0.0,33.341,56.759","0.0,0.0,107.278,367.926","0,0,917,4631",
339,104.080434,1.231818,167.0,3544.0,2019-11-27 11:17:22.519,30.801,0,21,59.0,33.0,S,0.0,71.0,false,false,0,"0.0,0.0,6.962,11.062","0.0,0.0,124.373,403.649","0,0,258,1086",
340,104.323494,1.265921,2892.0,3355.0,2019-11-27 11:17:22.519,32.42,3,13,50.0,25.0,S,0.0,18.0,false,false,0,"0.0,0.0,1.59,3.208","0.0,0.0,104.279,405.175","0,0,79,411",AA
341,104.242066,1.249174,1967.0,3362.0,2019-11-27 11:17:22.519,31.876,3,45,96.0,46.0,M,0.0,19.0,false,false,0,"0.0,0.0,1.443,7.601","0.0,0.0,105.405,369.117","0,0,76,732",AA
342,104.125057,1.22564,639.0,3377.0,2019-11-27 11:17:22.519,31.085,0,127,144.0,83.0,L,0.0,61.0,false,false,0,"0.0,0.0,22.148,22.809","0.0,0.0,116.778,396.665","0,0,684,2105",
343,104.101425,1.218338,365.0,3353.0,2019-11-27 11:17:22.519,30.92,0,18,46.0,34.0,S,0.0,166.0,false,false,0,"0.0,0.0,1.943,9.71","0.0,0.0,122.037,408.038","0,0,103,1008",
344,104.099949,1.217933,348.0,3352.0,2019-11-27 11:17:22.519,30.91,0,56,120.0,47.0,M,0.0,103.0,false,false,0,"0.0,0.0,6.018,24.308","0.0,0.0,122.481,411.473","0,0,226,2352",
345,104.079057,1.204988,91.0,3262.0,2019-11-27 11:17:22.519,30.755,0,185,488.0,133.0,L,0.0,138.0,false,false,0,"0.0,0.0,4.348,4.733","0.0,0.0,131.693,406.283","0,0,173,494",
346,104.093155,1.197708,228.0,3153.0,2019-11-27 11:17:22.519,30.837,0,2,28.0,10.0,S,0.0,55.0,false,false,0,"0.0,0.0,3.983,3.988","0.0,0.0,130.431,402.417","0,0,149,416",
347,104.090268,1.197904,197.0,3162.0,2019-11-27 11:17:22.519,30.819,3,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.171,3.942","0.0,0.0,131.156,397.669","0,0,95,416",AA
348,104.877678,1.373209,9172.0,3239.0,2019-11-27 11:17:22.519,35.938,0,610,259.0,248.0,L,0.0,32.0,false,false,0,"0.0,0.0,3.118,5.191","0.0,0.0,99.727,269.213","0,0,117,443",
349,104.87738,1.372875,9168.0,3236.0,2019-11-27 11:17:22.519,35.936,0,459,249.0,184.0,L,0.0,37.0,false,false,0,"0.0,0.0,3.284,6.498","0.0,0.0,96.576,234.039","0,0,117,443",
350,105.399761,1.478486,15097.0,3176.0,2019-11-27 11:17:22.519,38.994,0,2,60.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,1.23,1.887","0.0,0.0,71.829,147.474","0,0,48,104",
351,105.399387,1.479398,15095.0,3187.0,2019-11-27 11:17:22.519,38.993,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.942,1.835","0.0,0.0,71.845,146.684","0,0,43,102",
352,105.399332,1.480107,15096.0,3194.0,2019-11-27 11:17:22.519,38.994,0,2,56.0,10.0,S,0.0,55.0,false,false,0,"0.0,0.0,0.438,2.073","0.0,0.0,71.858,147.306","0,0,34,110",
353,105.39859,1.48058,15089.0,3201.0,2019-11-27 11:17:22.519,38.99,0,2,28.0,10.0,S,0.0,55.0,false,false,0,"0.0,0.0,1.009,1.903","0.0,0.0,71.599,146.877","0,0,44,104",
354,105.39774,1.48202,15083.0,3218.0,2019-11-27 11:17:22.519,38.987,0,4,210.0,13.0,L,0.0,36.0,false,false,0,"0.0,0.0,0.666,2.388","0.0,0.0,71.655,145.237","0,0,38,117",
355,105.398493,1.482811,15093.0,3225.0,2019-11-27 11:17:22.519,38.992,0,1,10.0,10.0,S,0.0,100.0,false,false,0,"0.0,0.0,0.218,1.979","0.0,0.0,71.568,148.46","0,0,30,108",
356,104.436651,1.286368,4171.0,3316.0,2019-11-27 11:17:22.519,33.16,0,19,47.0,37.0,S,0.0,23.0,false,false,0,"0.0,0.0,7.512,11.645","0.0,0.0,101.855,405.187","0,0,225,1153",
357,104.433432,1.285952,4135.0,3319.0,2019-11-27 11:17:22.519,33.139,0,83,119.0,68.0,M,0.0,103.0,false,false,0,"0.0,0.0,17.244,60.289","0.0,0.0,102.016,405.849","0,0,468,5463",
358,104.877412,1.373603,9170.0,3244.0,2019-11-27 11:17:22.519,35.937,0,163,188.0,130.0,L,0.0,86.0,false,false,0,"0.0,0.0,2.381,3.445","0.0,0.0,105.543,354.774","0,0,105,443",
359,104.881624,1.383788,9239.0,3343.0,2019-11-27 11:17:22.519,35.974,0,3,18.0,12.0,S,0.0,145.0,false,false,0,"0.0,0.0,0.528,1.569","0.0,0.0,102.806,354.338","0,0,52,267",
360,104.881077,1.384212,9234.0,3348.0,2019-11-27 11:17:22.519,35.971,0,2,22.0,10.0,S,0.0,10.0,false,false,0,"0.0,0.0,0.307,1.565","0.0,0.0,102.972,359.211","0,0,46,269",
361,104.970055,1.395152,10228.0,3263.0,2019-11-27 11:17:22.519,36.501,0,261,208.0,130.0,L,0.0,75.0,false,false,0,"0.0,0.0,79.468,191.339","0.0,0.0,81.787,177.916","0,0,1641,7733",
362,105.336792,1.487245,14431.0,3412.0,2019-11-27 11:17:22.519,38.663,0,94,249.0,90.0,L,0.0,99.0,false,false,0,"0.0,0.0,1.552,3.106","0.0,0.0,70.934,177.419","0,0,53,186",
363,105.376997,1.489047,14873.0,3340.0,2019-11-27 11:17:22.519,38.883,0,79,287.0,82.0,L,0.0,7.0,false,false,0,"0.0,0.0,1.312,3.396","0.0,0.0,70.017,123.65","0,0,48,129",
364,105.375083,1.492063,14859.0,3376.0,2019-11-27 11:17:22.519,38.876,0,12,60.0,22.0,S,0.0,10.0,false,false,0,"0.0,0.0,0.838,2.728","0.0,0.0,70.153,134.693","0,0,40,124",
365,105.397556,1.483783,15085.0,3237.0,2019-11-27 11:17:22.519,38.988,0,3,83.0,11.0,M,0.0,132.0,false,false,0,"0.0,0.0,1.177,2.344","0.0,0.0,71.502,147.392","0,0,47,118",
366,105.333025,1.491669,14400.0,3467.0,2019-11-27 11:17:22.519,38.648,0,84,372.0,122.0,L,0.0,130.0,false,false,0,"0.0,0.0,1.252,2.946","0.0,0.0,70.823,178.44","0,0,48,185",
367,104.254962,1.317171,2262.0,4055.0,2019-11-27 11:17:22.519,32.05,0,9,39.0,20.0,S,0.0,37.0,false,false,0,"0.0,0.0,2.715,2.931","0.0,0.0,110.965,373.633","0,0,115,357",
368,104.379963,1.334545,3663.0,3956.0,2019-11-27 11:17:22.519,32.867,0,11,119.0,14.0,M,0.0,150.0,false,false,0,"0.0,0.0,2.589,1.414","0.0,0.0,109.623,430.479","0,0,112,270",
369,104.391856,1.349713,3827.0,4090.0,2019-11-27 11:17:22.519,32.962,0,58,112.0,48.0,M,0.0,166.0,false,false,0,"0.0,0.0,16.877,14.805","0.0,0.0,110.497,423.819","0,0,508,1530",
370,104.389737,1.347547,3799.0,4072.0,2019-11-27 11:17:22.519,32.946,0,181,199.0,88.0,L,0.0,126.0,false,false,0,"0.0,0.0,40.459,28.755","0.0,0.0,110.499,427.731","0,0,1142,2863",
371,104.341063,1.336172,3243.0,4061.0,2019-11-27 11:17:22.519,32.624,0,189,244.0,75.0,L,0.0,129.0,false,false,0,"0.0,0.0,33.86,27.902","0.0,0.0,110.708,413.811","0,0,954,2639",
372,104.234883,1.313519,2035.0,4061.0,2019-11-27 11:17:22.519,31.917,3,11,68.0,23.0,S,0.0,8.0,false,false,0,"0.0,0.0,0.527,3.269","0.0,0.0,112.805,364.987","0,0,56,372",AA
373,104.099213,1.287004,497.0,4087.0,2019-11-27 11:17:22.519,31.0,0,23,48.0,43.0,S,0.0,120.0,false,false,0,"0.0,0.0,3.152,19.681","0.0,0.0,125.63,411.143","0,0,145,1939",
374,104.101058,1.287398,518.0,4087.0,2019-11-27 11:17:22.519,31.012,0,37,67.0,50.0,S,0.0,90.0,false,false,0,"0.0,0.0,6.848,30.85","0.0,0.0,125.074,408.439","0,0,259,2921",
375,104.069401,1.27676,149.0,4046.0,2019-11-27 11:17:22.519,30.79,0,8,28.0,22.0,S,0.0,55.0,false,false,0,"0.0,0.0,1.216,3.083","0.0,0.0,131.843,432.584","0,0,82,427",
376,104.063145,1.275063,77.0,4042.0,2019-11-27 11:17:22.519,30.746,0,15,37.0,33.0,S,0.0,144.0,false,false,0,"0.0,0.0,4.484,13.005","0.0,0.0,132.789,436.421","0,0,177,1382",
377,104.38049,1.331138,3661.0,3919.0,2019-11-27 11:17:22.519,32.866,0,134,202.0,65.0,L,0.0,129.0,false,false,0,"0.0,0.0,37.528,35.543","0.0,0.0,108.689,424.187","0,0,1057,3390",
378,104.405695,1.330019,3933.0,3850.0,2019-11-27 11:17:22.519,33.023,0,51,71.0,68.0,M,0.0,8.0,false,false,0,"0.0,0.0,9.174,7.469","0.0,0.0,106.272,417.153","0,0,281,819",
379,104.402725,1.34734,3940.0,4040.0,2019-11-27 11:17:22.519,33.027,0,107,129.0,80.0,L,0.0,121.0,false,false,0,"0.0,0.0,58.365,31.496","0.0,0.0,109.524,427.878","0,0,1644,3127",
380,104.352481,1.336893,3369.0,4043.0,2019-11-27 11:17:22.519,32.697,0,290,305.0,92.0,L,0.0,127.0,false,false,0,"0.0,0.0,66.37,182.276","0.0,0.0,111.821,415.045","0,0,1907,16792",
381,104.332835,1.32016,3117.0,3910.0,2019-11-27 11:17:22.519,32.551,0,181,215.0,81.0,L,0.0,126.0,false,false,0,"0.0,0.0,32.934,54.074","0.0,0.0,109.619,418.9","0,0,923,5099",
382,104.313506,1.310712,2885.0,3853.0,2019-11-27 11:17:22.519,32.415,0,286,281.0,99.0,L,0.0,104.0,false,false,0,"0.0,0.0,25.569,52.359","0.0,0.0,108.666,423.752","0,0,723,5025",
383,104.296214,1.320107,2718.0,3992.0,2019-11-27 11:17:22.519,32.318,0,33,75.0,39.0,M,0.0,101.0,false,false,0,"0.0,0.0,27.409,13.272","0.0,0.0,110.599,418.562","0,0,795,1352",
384,104.269972,1.317396,2426.0,4023.0,2019-11-27 11:17:22.519,32.147,3,30,95.0,28.0,M,0.0,180.0,false,false,0,"0.0,0.0,1.113,4.118","0.0,0.0,110.714,376.636","0,0,72,462",AA
385,104.274806,1.314908,2473.0,3986.0,2019-11-27 11:17:22.519,32.174,0,34,77.0,42.0,M,0.0,108.0,false,false,0,"0.0,0.0,7.074,12.038","0.0,0.0,110.167,374.248","0,0,231,1115",
386,104.279734,1.314606,2526.0,3971.0,2019-11-27 11:17:22.519,32.205,0,40,94.0,40.0,M,0.0,118.0,false,false,0,"0.0,0.0,12.198,8.081","0.0,0.0,109.743,372.172","0,0,369,774",
387,104.274977,1.312328,2469.0,3958.0,2019-11-27 11:17:22.519,32.172,0,73,207.0,59.0,L,0.0,98.0,false,false,0,"0.0,0.0,20.875,21.559","0.0,0.0,109.413,371.915","0,0,604,1891",
388,104.27291,1.310352,2442.0,3942.0,2019-11-27 11:17:22.519,32.156,0,56,101.0,52.0,M,0.0,86.0,false,false,0,"0.0,0.0,16.026,16.278","0.0,0.0,110.009,377.021","0,0,471,1494",
389,104.276849,1.310832,2486.0,3938.0,2019-11-27 11:17:22.519,32.182,0,76,110.0,66.0,M,0.0,118.0,false,false,0,"0.0,0.0,12.039,13.604","0.0,0.0,109.547,371.157","0,0,362,1236",
