vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
893,72.856156,18.956065,9059,11635,02:56.9,36.048,0,,80,229,72,L,0,132,FALSE,FALSE,0,"0.0,0.0,24.03,46.075","0.0,0.0,116.368,285.725","0,0,764,5162"
894,72.859282,18.956207,9027,11627,02:56.9,36.031,0,,44,96,43,M,0,178,FALSE,FALSE,0,"0.0,0.0,30.349,17.676","0.0,0.0,116.702,287.14","0,0,964,1932"
895,72.858303,18.957103,9039,11619,02:56.9,36.037,0,,21,63,31,S,0,176,FALSE,FALSE,0,"0.0,0.0,5.79,4.941","0.0,0.0,116.295,284.041","0,0,219,645"
896,72.861861,18.956987,9002,11614,02:56.9,36.017,3,AA,12,34,30,S,0,81,FALSE,FALSE,0,"0.0,0.0,6.131,4.89","0.0,0.0,116.47,283.862","0,0,230,558"
897,72.852601,18.959043,9102,11610,02:56.9,36.071,0,,4,22,17,S,0,10,FALSE,FALSE,0,"0.0,0.0,6.101,3.557","0.0,0.0,116.308,276.611","0,0,216,419"
898,72.857955,18.958241,9045,11608,02:56.9,36.04,0,,48,164,36,L,0,164,FALSE,FALSE,0,"0.0,0.0,13.881,15.45","0.0,0.0,116.23,282.878","0,0,457,1567"
899,72.860562,18.95821,9018,11603,02:56.9,36.026,0,,20,58,32,S,0,173,FALSE,FALSE,0,"0.0,0.0,6.174,5.178","0.0,0.0,116.209,278.455","0,0,230,526"
900,72.857011,18.959308,9057,11598,02:56.9,36.047,0,,23,57,37,S,0,163,FALSE,FALSE,0,"0.0,0.0,12.38,7.261","0.0,0.0,116.334,283.038","0,0,410,783"
901,72.85374,18.960355,9093,11593,02:56.9,36.066,0,,6,28,22,S,0,10,FALSE,FALSE,0,"0.0,0.0,6.888,7.304","0.0,0.0,116.635,278.86","0,0,241,792"
902,72.858173,18.960259,9047,11586,02:56.9,36.042,0,,14,52,27,S,0,173,FALSE,FALSE,0,"0.0,0.0,4.798,5.075","0.0,0.0,116.453,281.832","0,0,186,553"
903,72.856972,18.961016,9061,11580,02:56.9,36.049,0,,19,60,32,S,0,3,FALSE,FALSE,0,"0.0,0.0,5.749,5.512","0.0,0.0,116.474,275.416","0,0,209,546"
904,72.860646,18.960521,9022,11578,02:56.9,36.028,0,,37,63,54,S,0,4,FALSE,FALSE,0,"0.0,0.0,20.716,22.907","0.0,0.0,116.317,270.05","0,0,655,1842"
