MMSI,Detected_lat,Detected_lon,AIS_lat,AIS_lon,Distance_error,xpixel,ypixel,LENGTH_detected,LENGTH,BREADTH_detected,BREADTH,incidence_angle,NAME,AISTYPE,Total Pixel,Max_value,Significance
205744000,18.881463,72.83692099999999,18.8808,72.8364,91.86777183923549,9101,12470,228,207,100,36,36.071,VASCO DA GAMA       ,90,235,1500.0,56.09
419000379,18.952644,72.864073,18.9519,72.8651,136.04960517334192,8970,11656,52,29,47,9,36.0,AB3000 ,99,27,277.0,7.592
419589000,18.94096,72.859463,18.94045865308642,72.85816340833333,147.61491587218282,8993,11790,43,33,33,10,36.013000000000005,OCEAN VIKING        ,52,16,240.0,6.221
419901305,18.952077,72.865215,18.953247009676712,72.86588360696501,147.8851444841325,8957,11659,60,70,39,13,35.993,M.V. SHARAVATI,70,26,398.0,11.628
419901776,18.959042999999998,72.852601,18.9578,72.85086,229.40148462962165,9102,11610,22,20,17,8,36.071,OM MALLIKARJUN,30,4,216.0,6.101
636092808,18.916779000000002,72.874189,18.9156,72.876,231.25008939580118,8790,12019,98,103,37,19,35.903,ALTUS UBER          ,34,38,283.0,7.763
419000645,18.935131,72.860501,18.9342,72.8626,243.83552383428963,8970,11850,79,68,47,16,36.0,TAG 10              ,90,40,1078.0,33.48
419100037,18.925166,72.841639,18.92727695109261,72.83857112382934,399.0305647576892,9144,11993,22,0,22,0,36.094,,0,4,251.0,8.135
419901712,18.960355,72.85374,18.9577,72.8505,450.8341127419355,9093,11593,28,14,22,5,36.066,KAVI KANYA,30,6,241.0,6.888
419551000,18.908801,72.88108100000001,18.9121,72.8784,462.71254602670655,8702,12091,53,57,36,13,35.856,SEA CONQUEST,52,21,267.0,7.338
419001104,18.926191,72.846298,18.930566978233568,72.84623311607662,486.63443572717864,9098,11973,33,48,28,8,36.069,WARSHIP 412        ,0,10,314.0,10.09
419901772,18.953733,72.854228,18.95745,72.85070999999998,554.7110137641178,9074,11663,40,13,31,4,36.056,SAIRAM,30,14,215.0,5.889
419000791,18.958241,72.857955,18.954908999306785,72.85393872523655,561.8422133488567,9045,11608,164,188,36,30,36.04,VMS 21              ,90,48,457.0,13.881
419000294,18.931770999999998,72.86272199999999,18.926776213017753,72.86434262984879,580.9649458247665,8940,11881,88,66,49,16,35.984,SCI PAWAN           ,90,46,599.0,18.647
419047300,18.955026,72.854008,18.95655,72.84838,615.6492495585062,9079,11650,43,34,38,7,36.059,MV RAAVI,90,18,292.0,8.492
419055600,18.950413,72.86013299999999,18.945296926509627,72.85695880206175,659.5970870346076,9006,11687,59,47,35,11,36.02,ANTAREJA            ,33,22,496.0,14.593
565653000,18.938613,72.908346,18.944478619639877,72.90736260434007,660.3767696401409,8483,11719,238,268,84,32,35.736999999999995,WAN HAI 509         ,70,206,2031.0,58.95
538007298,18.905034,72.876251,18.9004,72.8701,827.1731892614415,8744,12141,170,199,89,32,35.878,INDIGO BREEZE       ,70,157,787.0,23.908
419900862,18.952339000000002,72.855976,18.9516,72.8466,989.4655252175263,9053,11675,56,60,33,13,36.045,M.V. SAAHA,80,21,282.0,7.861
