"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:58:29",419900778,18.89551,72.85320,211.4,8.2,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:29",419264000,18.94129,72.86181,86.2,0.0,511,8308513,"ALBATROSS 07  ","VWSB",99,8,50,7,5,4.4,"MUMBAI","00-00 18:50"
"2018-10-23 00:58:30",419074100,18.95485,72.85390,177.5,0.1,511,8924563,"MEENAKSHI           ","AUSM   ",99,0,0,0,0,2.0,"MUMBAI              ","07-03 10:08"
"2018-10-23 00:58:30",538007298,18.90036,72.87013,75.6,0.0,189,9760160,"INDIGO BREEZE       ","V7FC8  ",70,170,29,22,10,8.4,"MUMBAI ""INNER"" ANCHO","10-18 08:30"
"2018-10-23 00:58:31",419901213,18.90918,72.82622,339.2,0.0,339,0,"VAIBHAV LAXMI","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:32",419076800,18.94721,72.86115,69.4,0.0,511,9510163," OFFSHORE RUNNER    ","AURQ   ",90,8,39,7,3,2.5,"TAPTI               ","05-28 16:00"
"2018-10-23 00:58:32",419901712,18.95767,72.85053,210.3,0.0,210,0,"KAVI KANYA","8WGD",30,10,4,3,2,0.0,"","00-00 24:60"
"2018-10-23 00:58:32",419000346,18.93963,72.84346,219.3,0.1,511,8216552,"MV SUMAYLA ONE","AVNG",90,11,49,3,9,3.2,"MUMBAI PLT STN","10-22 06:00"
"2018-10-23 00:58:33",419001104,18.92919,72.84069,151.7,0.8,133,412000045,"WARSHIP 412        ","AWOO",0,18,30,4,4,0.0,"","00-00 24:60"
"2018-10-23 00:58:34",419058400,18.94173,72.85762,337.0,0.0,511,8218108,"MV KAMRUP","AUJC",52,15,23,4,5,3.2,"MUMBAI","05-29 14:00"
"2018-10-23 00:58:34",419000218,19.22348,72.06006,0.7,1.2,52,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:34",419001117,18.92811,72.86803,145.9,0.1,171,9126039,"TAG 20              ","AWPB   ",70,21,67,9,9,5.0,"BFL                 ","08-30 14:00"
"2018-10-23 00:58:35",419000339,18.91519,72.91109,207.6,0.0,234,0,"T203                ","AVMZ   ",90,5,8,2,2,0.9,"=                   ","00-00 24:60"
"2018-10-23 00:58:36",419001106,18.93682,72.85807,178.7,0.0,204,9429596,"MARIA               ","AWOQ   ",96,9,40,7,6,3.6,"MUMBAI              ","07-05 12:30"
"2018-10-23 00:58:36",419000359,18.91452,72.87312,29.5,2.1,511,0,"MPB-10","AVNT",70,60,5,10,3,0.0,"","00-00 24:60"
"2018-10-23 00:58:37",419059400,18.94078,72.85760,105.6,0.0,511,8217568,"OCEAN CREST         ","AUJV   ",52,10,26,3,7,3.9,"P&V MUMBAI ANCHORAGE","10-21 21:00"
